,subject,DD.period.t,DD.t.i,DD.i.e,DD.e.five,DD.five.Shift.r,DD.Shift.r.o,DD.o.a,DD.a.n,DD.n.l,DD.l.Return
0,2,0.3966836979998334,0.16793861700080015,0.22191800799919292,1.189911055000266,1.6076603399997111,0.7605730880004558,0.21439695400022174,0.1491014160001214,0.3525143089991616,0.35246603400082677
1,2,0.3459416659998169,0.12908051700014767,0.13625302299988107,1.1986211120001826,0.7831381399992097,0.7892285309999352,0.1687945400008175,0.2563726409998708,0.26469779099988955,0.2770635979995859
2,2,0.20794774100068025,0.12980826399962098,0.15492105900011666,1.041009751999809,0.6215317140004117,0.7207264319995375,0.2939751399999295,0.23398960000031366,0.2714109689995894,0.28647617700062256
3,2,0.25232063199928234,0.2502789270001813,0.20424723500036635,1.0573049799995715,1.2579258940004365,0.7564852229997996,0.1539311930000622,0.16347729900007835,0.23519371400016098,0.3245349709995935
4,2,0.23238677100016503,0.16802376299983734,0.1598742289997972,0.864360773000044,0.8969508910004151,0.7646052499994767,0.1981004600002052,0.15898414399998728,0.25276984599986463,0.2535976440003651
5,2,0.23445362700022088,0.13116912099940237,0.14161025900011737,0.9388329820003491,1.0911477159997958,0.37265571300031297,0.1291577909996704,0.15429514800052857,0.25367543999982445,0.29917665399989346
6,2,0.20763597899986053,0.137203266999677,0.1410951900006694,0.7982543019998047,1.2021715680002671,0.3090649050000138,0.14080389499940793,0.12070261500048218,0.20041328899969812,0.2921243829996456
7,2,0.18176046400003543,0.13860390599984385,0.13725871600036044,0.6457122769998023,1.1879895720003333,0.3145671009997386,0.11560089700014942,0.10477838099996006,0.2134907250001561,0.2795404899998175
8,2,0.18068581300030928,0.13048245800018776,0.14311016999999993,0.7370591330000025,0.9417705449995992,0.2265807149997272,0.12638552699991124,0.14098967200061452,0.21443196299969713,0.2874884259999817
9,2,0.18166835900046863,0.1464642709997861,0.12482525399991573,0.7563206419999915,0.8078091679999488,0.3124219159999484,0.1792390880000312,0.11686205899968627,0.22894663400074933,0.31999671299945476
10,2,0.16671352499997738,0.1567886829998315,0.13922837400059507,0.6940391609996368,0.8148554199997307,0.31655673400018713,0.17531854299977567,0.050575102000038896,0.40644622500076366,0.29131805899942265
